OBJECTID,ALLEY_TRDA,ALLEY_TR_1,XCNTS_VALU,YDNTS_VALU
584,000133,구로중앙로28길,190059,444554
585,000975,신목로5길,188698,446488
586,000985,신이문로9길,205516,456103
587,000546,망우로43길,207387,455189
588,000543,망우로21가길,205523,454614
589,000553,면목로35길,207402,453246
590,000554,면목로40길,207812,453238
591,000946,신길로60가길,192189,445969
592,000949,신길로8길,191980,444043
593,000951,신내로17길,208104,457415
594,000952,신대방1가길,191875,443035
595,000134,구로중앙로7길,190276,443461
596,000682,북아현로12길,196241,451451
597,000550,면목로13길,207237,452209
598,000097,공릉로2길,207028,456926
599,000085,고척로31길,186529,444995
600,000848,세검정로3길,195311,454989
601,000416,돌곶이로8길,205605,456337
602,000451,동일로149길,206690,456245
603,000684,북아현로22길,196067,451706
604,000687,북촌로5나길,198458,453874
605,000099,공릉로34길,207139,458244
606,000850,세검정로9길,196478,456138
607,000856,소공로3길,198455,450749
608,000860,소월로38가길,199166,449229
609,000491,두산로5길,190328,441378
610,000492,두산로9길,190502,441369
611,000494,두텁바위로58길,198479,449891
612,000689,불광로18길,194393,458083
613,000088,고척로3길,185590,444301
614,000092,곰달래로31길,186703,448136
615,000556,면목로54길,208011,453774
616,000558,면목로74길,207844,454399
617,000560,면목로84길,207813,454733
618,000496,둘레길,204529,448600
619,000691,비봉2길,196531,457215
620,000093,곰달래로35길,187049,448343
621,000817,선유로33길,190318,447592
622,000563,면목천로23길,207262,454385
623,000568,모래내로24길,195037,453765
624,000123,광평로10길,207111,442075
625,000925,시흥대로72길,191345,439932
626,000800,서초대로26길,199649,442988
627,000822,선유서로25길,189769,447244
628,000824,성균관로9길,199675,454329
629,000716,삼선교로14길,200847,453945
630,000569,목동남로2길,187984,445239
631,000096,공릉로12길,207106,457394
632,000794,서울시립대로2길,204240,452618
633,000739,삼양로38길,201945,457933
634,000742,삼양로58길,201794,458561
635,000803,서초대로38길,200606,443274
636,000828,성덕정19길,204979,448689
637,000833,성미산로29길,193115,451742
638,000718,삼선교로2길,200501,454221
639,000720,삼성로100길,205041,445629
640,000843,성안로3길,210951,447616
641,000892,수유로12길,201793,459137
642,000743,삼양로68길,201717,458708
643,000749,삼양로79길,201432,458985
644,000751,삼양로91길,201408,459701
645,000756,삼일대로4길,199090,451365
646,000497,등촌로39길,187639,449641
647,000506,디지털로38길,191215,443090
648,000842,성수일로4길,204626,449196
649,001073,연서로27길,192665,457519
650,000893,수유로23길,201759,459854
651,000899,승방길,198185,441484
652,000371,독립문로8길,196471,451987
653,000374,독막로32길,194554,449642
654,000510,디지털로57길,191161,443589
655,000135,구로중앙로8길,190496,443741
656,000515,뚝섬로56길,207290,447869
657,000531,마포대로16길,196245,450118
658,000532,마포대로20길,196258,450251
659,000397,독산로80길,191531,441123
660,000404,독서당로59다길,202698,450351
661,000382,독산로23길,191568,439434
662,000383,독산로24길,191815,439552
663,000391,독산로44길,191743,440226
664,000139,국제금융로7길,194061,447098
665,000340,도봉로24길,202649,457726
666,000341,도봉로28길,202733,457917
667,000191,남부순환로191길,194156,442904
668,000535,만리재로24길,196939,450308
669,000536,만리재로35길,197120,450820
670,000407,돌곶이로18길,205282,456659
671,000412,돌곶이로32길,204730,457457
672,000414,돌곶이로41가길,203905,457600
673,000394,독산로69길,191237,440702
674,000217,노량진로6길,194355,445698
675,000223,노해로35길,201988,460902
676,000189,남부순환로170길,193317,442461
677,000539,망우로14길,205267,454208
678,000195,남부순환로209길,195069,442573
679,000197,남부순환로234길,196144,442028
680,000181,남부순환로130길,191878,442185
681,000182,남부순환로144길,192335,442291
682,000185,남부순환로151길,192630,442669
683,000188,남부순환로163가길,192945,442857
684,000163,난곡로11길,192789,440656
685,000164,난곡로16길,193044,440820
686,000167,난곡로30길,193186,441364
687,000693,사가정로27길,206251,453375
688,000695,사가정로8길,204967,452920
689,000696,사근동11길,204167,451522
690,000202,남부순환로323길,201214,442560
691,000203,남부순환로333길,201825,442678
692,000082,고산자로8나길,203158,451024
693,000108,공항대로61길,188127,450274
694,000119,광나루로56길,208559,448779
695,000121,광운로2길,205156,457535
696,000172,난곡로66길,192472,442594
697,000177,난향12길,192558,440451
698,000585,무학로43길,202529,453364
699,000589,문성로30길,193641,442113
700,000590,문성로5길,191642,442069
701,000700,사당로14가길,197474,442729
702,000606,방배로31길,199090,443392
703,000609,방배천로4안길,198532,442406
704,000083,고척로21나길,186023,444863
705,000670,봉천로23길,194324,443169
706,000661,보문로7길,201989,453115
707,000664,봉우재로14길,206884,454465
708,000665,봉우재로28길,207493,454665
709,000647,보국문로18길,200892,456853
710,000834,성북로14가길,200180,454943
711,000836,성북로18길,200024,454934
712,000648,보국문로30길,200383,457611
713,000649,보국문로8길,201033,456606
714,001303,인촌로1길,201635,454222
715,001307,인촌로28길,202761,453971
716,001317,자양번영로1길,206505,447914
717,000551,면목로27길,207325,452804
718,000671,봉천로23나길,194442,443049
719,000732,삼양로20길,202083,457190
720,001260,응암로1길,192099,453557
721,000219,노원로1길,207378,457977
722,000236,능동로35길,206795,450841
723,000238,다동길,198338,452100
724,000239,다산로14길,201112,450703
725,001658,행당로17길,202875,451160
726,001019,약령시로15길,203676,453798
727,001039,양평로20길,190840,448688
728,000071,경희대로4길,204793,454696
729,001172,용답19길,204566,451462
730,001175,용답중앙13길,204671,451751
731,001572,퇴계로76길,201245,451588
732,001578,팔판길,198303,453708
733,001595,한강대로15길,196747,447393
734,001611,한글비석로24나길,206266,462601
735,001287,이화장길,200339,453162
736,000959,신림로17길,194368,440926
737,001531,탑골로2길,192253,439052
738,001211,월드컵로3길,192007,450126
739,001217,월드컵북로5나길,192597,450857
740,001421,중계로6길,207684,460506
741,001222,윤보선길,198552,453150
742,001227,율곡로1길,198338,453054
743,001524,청파로93길,197098,450489
744,000877,솔샘로4길,200553,456538
745,001183,우사단로2길,199855,447843
746,000508,디지털로53가길,191189,443504
747,000714,삼각산로22길,201444,460028
748,000728,삼양로163길,201058,462173
749,000175,난우10길,192865,441884
750,001511,청룡길,195221,442293
751,001514,청림2길,196332,443092
752,001440,증가로23나길,192328,453463
753,001449,증산로21길,192289,455176
754,000896,숭문길,195230,450177
755,001067,연서로13길,192334,456688
756,000107,공항대로55길,187723,450557
757,000733,삼양로24길,201989,457550
758,000735,삼양로29길,201772,457742
759,000572,목동중앙남로11길,188067,448878
760,001665,혜화로3길,199831,454030
761,001573,퇴계로83길,201663,451944
762,001632,한천로134길,202504,460039
763,001640,한천로170길,201709,460817
764,000454,동일로163길,206670,456921
765,000459,동일로184길,206700,458290
766,001559,통일로87길,192806,458209
767,000244,다산로44길,201923,451720
768,001463,진흥로1길,192801,455973
769,000652,보문로13다길,201794,453409
770,000659,보문로37길,201166,454555
